name,value
IdentifyingNumber_Softwares,{4E61EF40-8A51-3D99-AA4C-32F203370083}
InstallDate_Softwares,20170209
InstallSource_Softwares,C:\ProgramData\Package Cache\{4E61EF40-8A51-3D99-AA4C-32F203370083}v14.0.25420\packages\VisualC_D14\VC_IDE.Core.Pro.Plus.Res\deu\
InstallState_Softwares,5
Language_Softwares,1031
LocalPackage_Softwares,C:\Windows\Installer\12a3058f.msi
Name_Softwares,Visual C++ IDE Core Professional Plus Resource Package
PackageCache_Softwares,C:\Windows\Installer\12a3058f.msi
PackageCode_Softwares,{6611F290-A73A-4033-8113-2DF2146CD46A}
PackageName_Softwares,VC_IDE.Core.Pro.Plus.Res.msi
Vendor_Softwares,Microsoft Corporation
Version_Softwares,14.0.25420
WordCount_Softwares,2
AssignmentType_Softwares,1
Caption_Softwares,Visual C++ IDE x64 Package
